 ,Total,Land,"Freshwater, lakes",Continental,Islands in the ocean,0-299 metres,300-599 metres,600-899 metres,900 metres and over,Continental,Islands
Østfold,4181,3889,292,4033,150,4176,8,-,-,382,866
Akershus,4918,4579,339,4901,16,3900,958,59,-,163,138
Aust-Agder,9158,8315,843,9108,104,3440,1958,1814,2000,556,1102
Buskerud,14911,13797,1114,14925,2,2808,3204,2606,6309,123,33
Finnmark Finnmárku,48631,45762,2869,45749,2889,20487,25518,2513,119,3688,3153
Hedmark,27398,26086,1311,27388,.,4465,8028,9403,5492,.,.
Hordaland,15438,14523,915,13367,2083,4434,2372,2721,5923,2237,6504
Møre og Romsdal,15101,14570,531,13382,1722,4919,3585,2592,4009,2270,5498
Nord-Trøndelag,22415,20779,1636,21527,869,8464,9072,4346,514,1743,4594
Nordland,38482,36091,2392,32137,6326,13941,10950,8777,4794,5087,17934
Oppland,25192,23784,1408,25191,.,1097,4012,5673,14409,.,.
Oslo,454,426,28,451,3,270,184,0,-,39,39
Rogaland,9376,8589,787,8773,552,4224,1988,1840,1273,1553,2293
Sør-Trøndelag,18839,17833,1007,17785,1046,5237,4885,5294,3416,1353,5214
Sogn og Fjordane,18623,17674,949,17927,692,4009,3547,3270,7794,2482,3755
Telemark,15296,13853,1443,15267,48,3654,3113,3637,4911,352,665
Troms Romsa,25863,24869,994,20275,5572,8181,7210,6892,3566,1801,4219
Vest-Agder,7277,6679,598,7196,85,3065,2072,1735,409,910,1230
Vestfold,2225,2148,77,2099,117,1975,240,1,.,409,899