lat,lng,dates
64.12,12.11,2013-08-01
67.0,15.27,2013-01-01
65.8,13.51,2013-01-01
69.72,23.25,2013-02-01
65.08,13.26,2013-11-01
64.35,13.64,2013-02-01
62.68,9.1,2013-10-01
59.53,6.83,2013-08-01
63.81,12.15,2013-02-01
62.04,10.29,2013-01-01
69.59,21.54,2013-02-01
64.37,14.08,2013-06-01
60.89,8.83,2013-08-01
60.8,11.84,2013-02-01
62.09,8.78,2013-09-01
61.8,10.73,2013-10-01
64.9,12.51,2013-02-01
69.33,20.67,2013-01-01
69.32,19.15,2013-04-01
69.96,25.43,2013-03-01
70.0,25.27,2013-08-01
61.94,9.52,2013-08-01
64.21,13.95,2013-04-01
66.0,13.94,2013-01-01
64.08,12.95,2013-02-01
62.52,10.76,2013-02-01
64.57,13.38,2013-05-01
61.33,9.37,2013-01-01
61.63,10.95,2013-09-01
64.43,12.75,2013-02-01
69.03,25.24,2013-03-01
69.17,22.39,2013-02-01
63.38,11.37,2013-11-01
62.56,10.51,2013-08-01
62.07,8.44,2013-02-01
63.83,12.13,2013-01-01
61.63,7.42,2013-03-01
66.93,15.17,2013-04-01
61.72,10.75,2013-10-01
62.84,11.31,2013-12-01
69.32,20.18,2013-08-01
69.54,21.39,2013-02-01
62.91,8.72,2013-01-01
69.58,25.25,2013-01-01
63.44,11.92,2013-03-01
61.31,9.13,2013-09-01
64.4,13.55,2013-02-01
69.86,23.03,2013-02-01
62.92,9.54,2013-01-01
70.26,25.54,2013-10-01
61.3,9.21,2013-10-01
61.99,9.58,2013-08-01
61.7,9.85,2013-08-01
69.73,28.93,2013-10-01
62.09,8.79,2013-09-01
62.57,10.51,2013-09-01
69.21,18.87,2013-02-01
69.77,25.16,2013-01-01
69.21,18.87,2013-02-01
61.87,11.34,2013-09-01
62.57,10.51,2013-09-01
69.21,18.87,2013-02-01
69.77,25.16,2013-01-01
64.32,12.14,2013-02-01
70.14,27.29,2013-02-01
65.68,13.52,2013-01-01
69.49,21.43,2013-02-01
61.92,8.85,2013-07-01
70.05,24.76,2013-03-01
70.19,27.78,2013-03-01
69.71,25.46,2013-01-01
62.38,7.56,2013-01-01
69.56,25.14,2013-01-01
63.88,11.29,2013-04-01
70.01,25.28,2013-08-01
62.57,10.5,2013-09-01
65.01,12.04,2013-09-01
62.26,9.74,2013-01-01
69.82,25.53,2013-01-01
69.45,20.6,2013-07-01
62.08,8.37,2013-07-01
69.21,18.87,2013-02-01
69.33,19.18,2013-05-01
70.41,27.99,2013-01-01
69.69,21.2,2013-02-01
68.72,19.87,2013-02-01
60.67,12.47,2013-04-01
69.24,20.2,2013-11-01
61.56,12.56,2013-03-01
62.24,10.98,2013-07-01
59.6,7.01,2013-09-01
61.98,9.08,2013-09-01
68.77,22.7,2013-02-01
70.0,24.77,2013-03-01
65.15,13.67,2013-05-01
62.5,10.49,2013-07-01
62.5,10.52,2013-09-01
62.02,9.17,2013-10-01
68.9,22.97,2013-03-01
65.31,12.48,2013-04-01
69.23,18.79,2013-01-01
70.38,27.66,2013-01-01
64.3,13.08,2013-02-01
69.98,28.76,2013-01-01
68.31,16.79,2013-07-01
67.07,15.26,2013-10-01
69.44,21.53,2013-12-01
68.98,18.22,2013-10-01
70.31,25.97,2013-03-01
70.03,28.82,2013-03-01
63.36,11.73,2013-02-01
61.75,7.57,2013-03-01
61.81,11.59,2013-03-01
61.98,9.57,2013-08-01
65.87,13.5,2013-01-01
69.66,23.36,2013-01-01
69.88,25.53,2013-01-01
61.44,7.58,2013-03-01
63.29,11.8,2013-02-01
69.89,25.64,2013-03-01
61.73,9.93,2013-12-01
68.31,16.73,2013-10-01
69.12,25.4,2013-01-01
68.52,20.0,2013-03-01
63.44,10.24,2013-01-01
61.74,8.2,2013-02-01
69.28,20.61,2013-08-01
68.99,18.57,2013-01-01
66.76,15.54,2013-01-01
68.62,19.95,2013-01-01
70.17,29.33,2013-02-01
65.6,13.17,2013-12-01
61.12,12.63,2013-12-01
69.33,19.15,2013-04-01
68.72,19.71,2013-01-01
61.68,7.41,2013-04-01
61.34,11.15,2013-10-01
70.19,26.03,2013-03-01
61.33,11.24,2013-10-01
69.09,19.36,2013-11-01
64.15,12.4,2013-10-01
70.11,26.05,2013-12-01
61.96,9.03,2013-07-01
61.92,9.03,2013-07-01
65.0,12.06,2013-08-01
63.64,11.7,2013-08-01
62.62,10.49,2013-08-01
61.29,10.43,2013-09-01
67.02,14.73,2013-09-01
62.69,8.71,2013-08-01
61.77,9.92,2013-10-01
61.77,9.91,2013-10-01
63.63,11.48,2013-09-01
61.28,9.3,2013-09-01
67.14,14.87,2013-09-01
68.98,25.13,2013-01-01
61.95,9.14,2013-09-01
69.26,20.76,2013-01-01
62.64,9.76,2013-09-01
62.66,11.11,2013-09-01
61.76,9.99,2013-09-01
67.01,14.76,2013-09-01
61.73,9.93,2013-09-01
61.95,9.14,2013-09-01
62.65,11.11,2013-09-01
69.05,22.47,2013-02-01
65.8,14.53,2013-09-01
61.81,10.1,2013-09-01
66.35,15.04,2013-01-01
64.58,13.63,2013-02-01
68.99,22.75,2013-03-01
68.89,25.04,2013-03-01
69.7,24.94,2013-04-01
69.62,25.01,2013-04-01
70.81,25.05,2013-05-01
64.15,12.4,2013-10-01
70.11,26.05,2013-12-01
61.96,9.03,2013-07-01
61.92,9.03,2013-07-01
65.0,12.06,2013-08-01
65.25,14.08,2013-12-01
64.89,13.62,2013-10-01
61.92,9.02,2013-07-01
62.57,10.51,2013-08-01
70.77,24.6,2013-08-01
62.26,11.07,2013-09-01
61.79,9.91,2013-09-01
64.29,12.19,2013-09-01
62.31,7.81,2013-08-01
62.65,10.32,2013-09-01
62.15,9.77,2013-09-01
62.17,8.24,2013-08-01
61.37,6.8,2013-09-01
64.4,12.87,2013-02-01
64.38,12.11,2013-02-01
64.29,12.97,2013-02-01
69.83,28.66,2013-02-01
62.41,8.92,2013-09-01
69.78,26.06,2013-03-01
60.51,7.62,2013-09-01
64.61,11.98,2013-03-01
63.31,11.26,2013-01-01
62.93,9.55,2013-01-01
63.06,9.55,2013-01-01
62.51,7.27,2013-02-01
65.0,11.92,2013-03-01
64.13,12.01,2013-03-01
62.66,9.28,2013-03-01
61.31,9.14,2013-04-01
63.26,11.28,2013-04-01
61.28,10.91,2013-05-01
63.83,12.17,2013-05-01
61.18,8.86,2013-08-01
63.09,11.1,2013-11-01
64.15,12.4,2013-10-01
70.11,26.05,2013-12-01
61.96,9.03,2013-07-01
61.92,9.03,2013-07-01
65.0,12.06,2013-08-01
63.64,11.7,2013-08-01
66.4,14.03,2013-05-01
70.17,24.29,2013-06-01
61.71,8.14,2013-07-01
62.72,10.98,2013-09-01
70.3,24.92,2013-10-01
66.99,15.05,2013-11-01
65.25,14.08,2013-12-01
64.89,13.62,2013-10-01
61.92,9.02,2013-07-01
62.57,10.51,2013-08-01
70.77,24.6,2013-08-01
62.26,11.07,2013-09-01
61.79,9.91,2013-09-01
64.29,12.19,2013-09-01
62.31,7.81,2013-08-01
62.65,10.32,2013-09-01
62.15,9.77,2013-09-01
62.17,8.24,2013-08-01
61.37,6.8,2013-09-01
64.4,12.87,2013-02-01
64.38,12.11,2013-02-01
64.29,12.97,2013-02-01
69.83,28.66,2013-02-01
62.41,8.92,2013-09-01
69.78,26.06,2013-03-01
60.51,7.62,2013-09-01
64.61,11.98,2013-03-01
63.31,11.26,2013-01-01
62.93,9.55,2013-01-01
63.06,9.55,2013-01-01
62.51,7.27,2013-02-01
65.0,11.92,2013-03-01
64.13,12.01,2013-03-01
62.66,9.28,2013-03-01
61.31,9.14,2013-04-01
63.26,11.28,2013-04-01
61.28,10.91,2013-05-01
63.83,12.17,2013-05-01
61.18,8.86,2013-08-01
63.09,11.1,2013-11-01
64.87,12.04,2013-02-01
68.91,22.65,2013-03-01
64.3,13.69,2013-04-01
68.91,22.69,2013-03-01
68.73,19.82,2013-03-01
68.83,18.62,2013-04-01
70.46,29.03,2013-05-01
68.87,18.7,2013-03-01
62.73,10.71,2013-01-01
63.04,9.6,2013-01-01
63.08,11.1,2013-02-01
63.81,12.23,2013-02-01
60.88,12.02,2013-03-01
63.37,11.65,2013-03-01
62.65,9.28,2013-04-01
63.51,11.02,2013-04-01
63.31,11.29,2013-04-01
62.85,11.62,2013-05-01
66.41,14.01,2013-05-01
61.61,10.02,2013-09-01
61.34,10.71,2013-08-01
62.56,10.51,2013-08-01
62.56,10.52,2013-08-01
61.77,9.88,2013-09-01
63.85,10.65,2013-09-01
68.95,18.81,2013-12-01
62.14,9.79,2013-09-01
61.72,9.91,2013-08-01
63.81,12.2,2013-09-01
62.29,7.84,2013-08-01
61.74,9.93,2013-09-01
62.58,10.45,2013-09-01
67.13,14.88,2013-09-01
61.3,10.71,2013-09-01
65.01,12.03,2013-09-01
62.23,10.65,2013-06-01
68.57,16.83,2013-01-01
69.28,20.71,2013-01-01
64.58,13.15,2013-01-01
68.64,16.89,2013-01-01
68.97,22.41,2013-02-01
61.99,9.07,2013-09-01
62.0,9.09,2013-09-01
62.0,9.06,2013-09-01
62.02,9.07,2013-09-01
69.33,20.68,2013-02-01
69.8,24.71,2013-02-01
69.74,25.03,2013-03-01
69.96,25.55,2013-02-01
69.11,24.78,2013-03-01
68.91,22.64,2013-03-01
69.12,24.81,2013-03-01
69.83,28.65,2013-03-01
64.12,13.1,2013-04-01
64.25,12.66,2013-04-01
69.63,24.97,2013-03-01
65.31,12.47,2013-04-01
61.29,10.39,2013-06-01
70.13,29.39,2013-07-01
61.32,10.62,2013-06-01
68.39,17.63,2013-10-01
62.55,10.49,2013-07-01
66.79,14.25,2013-05-01
62.57,10.53,2013-08-01
61.94,9.42,2013-08-01
62.54,10.61,2013-08-01
61.38,6.82,2013-08-01
62.53,10.61,2013-08-01
67.83,15.76,2013-09-01
61.71,9.93,2013-09-01
61.8,10.0,2013-09-01
61.79,9.87,2013-09-01
61.79,9.88,2013-09-01
65.01,12.04,2013-09-01
68.57,16.83,2013-01-01
62.02,9.25,2013-09-01
68.94,22.42,2013-02-01
64.31,13.77,2013-02-01
69.04,25.3,2013-02-01
69.12,24.8,2013-03-01
69.11,24.79,2013-03-01
64.31,13.06,2013-03-01
68.9,25.58,2013-03-01
69.08,24.74,2013-03-01
68.92,22.68,2013-03-01
68.99,22.77,2013-03-01
64.59,11.92,2013-03-01
65.02,11.94,2013-04-01
66.25,14.35,2013-03-01
69.79,28.64,2013-03-01
65.31,12.5,2013-04-01
65.35,14.41,2013-04-01
63.81,12.23,2013-01-01
66.5,14.04,2013-04-01
68.8,22.98,2013-04-01
68.85,22.91,2013-03-01
63.14,9.62,2013-05-01
61.89,8.82,2013-07-01
66.18,14.09,2013-12-01
70.38,27.96,2013-12-01
70.4,27.89,2013-12-01
69.16,25.07,2013-12-01
64.14,12.24,2013-08-01
63.84,12.12,2013-08-01
62.52,10.46,2013-08-01
61.82,8.2,2013-08-01
61.3,10.75,2013-08-01
62.21,10.44,2013-09-01
61.98,9.88,2013-08-01
67.91,15.81,2013-09-01
68.4,17.63,2013-05-01
61.97,9.11,2013-09-01
61.95,9.21,2013-09-01
61.3,9.46,2013-09-01
69.66,25.05,2013-01-01
62.78,10.15,2013-10-01
66.1,13.87,2013-10-01
68.9,22.69,2013-03-01
68.92,22.62,2013-03-01
69.08,24.74,2013-03-01
68.94,22.42,2013-02-01
64.31,13.77,2013-02-01
69.04,25.3,2013-02-01
69.12,24.8,2013-03-01
69.11,24.79,2013-03-01
64.31,13.06,2013-03-01
68.9,25.58,2013-03-01
69.08,24.74,2013-03-01
68.92,22.68,2013-03-01
68.99,22.77,2013-03-01
64.59,11.92,2013-03-01
65.02,11.94,2013-04-01
66.25,14.35,2013-03-01
69.79,28.64,2013-03-01
65.31,12.5,2013-04-01
65.35,14.41,2013-04-01
63.81,12.23,2013-01-01
66.5,14.04,2013-04-01
68.8,22.98,2013-04-01
68.85,22.91,2013-03-01
63.14,9.62,2013-05-01
61.89,8.82,2013-07-01
66.18,14.09,2013-12-01
70.38,27.96,2013-12-01
70.4,27.89,2013-12-01
69.16,25.07,2013-12-01
64.14,12.24,2013-08-01
63.84,12.12,2013-08-01
62.52,10.46,2013-08-01
61.82,8.2,2013-08-01
61.3,10.75,2013-08-01
62.21,10.44,2013-09-01
61.98,9.88,2013-08-01
67.91,15.81,2013-09-01
68.4,17.63,2013-05-01
61.97,9.11,2013-09-01
61.95,9.21,2013-09-01
61.3,9.46,2013-09-01
69.66,25.05,2013-01-01
62.78,10.15,2013-10-01
66.1,13.87,2013-10-01
68.9,22.69,2013-03-01
68.92,22.62,2013-03-01
69.08,24.74,2013-03-01
66.12,14.37,2013-05-01
64.2,13.23,2013-05-01
63.81,12.23,2013-01-01
61.61,6.66,2013-02-01
60.86,11.86,2013-02-01
64.88,12.43,2013-03-01
68.81,22.65,2013-12-01
61.93,8.85,2013-07-01
66.41,14.0,2013-05-01
70.03,28.98,2013-04-01
70.29,24.93,2013-10-01
66.98,15.05,2013-11-01
66.98,15.06,2013-11-01
69.8,29.0,2013-12-01
68.93,22.43,2013-12-01
62.08,9.74,2013-07-01
69.63,24.85,2013-11-01
62.61,9.5,2013-07-01
63.71,11.72,2013-08-01
61.49,10.78,2013-07-01
63.59,11.84,2013-08-01
61.3,10.75,2013-08-01
61.38,6.82,2013-08-01
62.5,10.52,2013-09-01
63.73,12.16,2013-09-01
67.83,15.77,2013-09-01
69.94,25.2,2013-08-01
61.92,9.16,2013-09-01
65.04,12.15,2013-10-01
69.21,20.27,2013-01-01
68.67,23.15,2013-02-01
69.69,30.57,2013-02-01
64.87,12.05,2013-02-01
68.92,22.63,2013-03-01
64.84,12.13,2013-03-01
68.98,22.76,2013-03-01
63.09,11.1,2013-10-01
67.87,15.8,2013-10-01
69.22,21.88,2013-11-01
69.8,24.74,2013-11-01
70.41,27.89,2013-12-01
62.59,10.48,2013-08-01
62.31,7.81,2013-08-01
66.43,14.1,2013-08-01
63.64,11.84,2013-07-01
62.71,10.85,2013-09-01
61.71,9.93,2013-09-01
61.82,9.94,2013-09-01
64.3,12.19,2013-09-01
67.01,14.79,2013-09-01
62.69,8.71,2013-08-01
61.77,9.9,2013-09-01
61.7,9.89,2013-09-01
62.57,10.45,2013-09-01
66.92,15.17,2013-01-01
69.81,29.01,2013-01-01
66.98,15.06,2013-11-01
69.8,29.0,2013-12-01
68.93,22.43,2013-12-01
62.08,9.74,2013-07-01
69.63,24.85,2013-11-01
62.61,9.5,2013-07-01
63.71,11.72,2013-08-01
61.49,10.78,2013-07-01
63.59,11.84,2013-08-01
61.3,10.75,2013-08-01
61.38,6.82,2013-08-01
62.5,10.52,2013-09-01
63.73,12.16,2013-09-01
67.83,15.77,2013-09-01
69.94,25.2,2013-08-01
61.92,9.16,2013-09-01
65.04,12.15,2013-10-01
69.21,20.27,2013-01-01
68.67,23.15,2013-02-01
69.69,30.57,2013-02-01
61.31,10.86,2013-04-01
62.66,9.28,2013-04-01
63.28,11.96,2013-05-01
60.88,8.83,2013-09-01
63.09,11.1,2013-10-01
67.87,15.8,2013-10-01
69.22,21.88,2013-11-01
69.8,24.74,2013-11-01
70.41,27.89,2013-12-01
62.59,10.48,2013-08-01
62.31,7.81,2013-08-01
66.43,14.1,2013-08-01
63.64,11.84,2013-07-01
62.71,10.85,2013-09-01
61.71,9.93,2013-09-01
61.82,9.94,2013-09-01
64.3,12.19,2013-09-01
67.01,14.79,2013-09-01
62.69,8.71,2013-08-01
61.77,9.9,2013-09-01
61.7,9.89,2013-09-01
62.57,10.45,2013-09-01
66.92,15.17,2013-01-01
69.81,29.01,2013-01-01
61.76,9.95,2013-10-01
64.28,12.81,2013-02-01
68.7,22.97,2013-01-01
68.91,22.65,2013-03-01
64.44,13.21,2013-04-01
64.46,12.83,2013-03-01
68.98,22.76,2013-03-01
69.1,24.71,2013-03-01
64.23,13.14,2013-04-01
63.81,12.23,2013-01-01
62.01,9.95,2013-01-01
62.93,9.55,2013-01-01
68.95,18.48,2013-03-01
66.49,14.11,2013-04-01
63.93,12.31,2013-04-01
62.71,8.5,2013-12-01
70.37,27.96,2013-12-01
61.97,9.13,2013-08-01
62.69,8.78,2013-08-01
67.83,15.77,2013-09-01
62.15,9.77,2013-09-01
63.69,11.78,2013-09-01
61.94,9.55,2013-08-01
61.78,9.92,2013-09-01
61.78,9.89,2013-09-01
61.79,9.91,2013-09-01
69.79,29.14,2013-01-01
69.14,25.49,2013-01-01
68.93,22.41,2013-02-01
61.28,9.3,2013-09-01
69.17,22.39,2013-02-01
68.91,22.65,2013-03-01
64.39,12.92,2013-03-01
69.78,26.1,2013-03-01
68.9,25.59,2013-03-01
69.68,24.68,2013-03-01
